"DOBorough","PUBorough","tip_amount","total_amount","trip_distance","fare_amount","payment_type","percent_tip"
"Manhattan","Manhattan",3.42,20.52,1.45,12.1,1,16.6666666666667
"Manhattan","Manhattan",2.8,30.8,3.72,24,1,9.09090909090909
"Manhattan","Manhattan",2.38,14.28,0.89,7.9,1,16.6666666666667
"Manhattan","Manhattan",2.2,16.9,1.34,10.7,1,13.0177514792899
"Manhattan","Manhattan",2.24,13.44,0.84,7.2,1,16.6666666666667
"Manhattan","Manhattan",4,17.3,1,9.3,1,23.121387283237
"Manhattan","Manhattan",4.25,25.65,1.4,14.9,1,16.5692007797271
"Manhattan","Manhattan",1.82,10.92,0.44,5.1,1,16.6666666666667
"Queens","Manhattan",9.72,58.32,10.33,43.6,1,16.6666666666667
"Manhattan","Manhattan",2.72,16.32,1.2,8.6,1,16.6666666666667
"Manhattan","Manhattan",1,11.5,0.86,6.5,1,8.69565217391304
"Manhattan","Manhattan",1,16.7,1.36,10.7,1,5.98802395209581
"Manhattan","Manhattan",2.44,14.64,0.8,7.2,1,16.6666666666667
"Manhattan","Manhattan",2,21.3,1.4,12.8,1,9.38967136150235
"Manhattan","Manhattan",4.3,26,2.5,17.7,1,16.5384615384615
"Manhattan","Manhattan",1.5,15.5,1.67,10,1,9.67741935483871
"Manhattan","Manhattan",7.42,37.12,3.48,24.7,1,19.989224137931
"Queens","Airport",2.84,38.39,6.71,26.8,1,7.39775983328992
"Manhattan","Manhattan",2.7,16.3,1.2,8.6,1,16.5644171779141
"Manhattan","Manhattan",3.64,21.84,1.52,14.2,1,16.6666666666667
"Manhattan","Manhattan",2.1,12.6,0.6,6.5,1,16.6666666666667
"Manhattan","Manhattan",1,11.8,0.58,5.8,1,8.47457627118644
"Manhattan","Manhattan",1,21.5,0,17,1,4.65116279069767
"Manhattan","Manhattan",3.44,20.64,1.2,10.7,1,16.6666666666667
"Manhattan","Manhattan",3,16.3,0.84,9.3,1,18.4049079754601
"Manhattan","Manhattan",6.93,30.03,2.93,19.1,1,23.0769230769231
"Brooklyn","Airport",19.44,118.39,26.23,94.7,1,16.4203057690683
"Manhattan","Manhattan",9.1,54.6,8.47,41.5,1,16.6666666666667
"Manhattan","Manhattan",7.1,42.8,6.1,31.7,1,16.588785046729
"Manhattan","Manhattan",2.3,13.8,1,6.5,1,16.6666666666667
"Manhattan","Manhattan",1,17.8,1.09,12.8,1,5.61797752808989
"Airport","Manhattan",11.55,69.3,10.9,42.2,1,16.6666666666667
"Manhattan","Manhattan",4.76,28.56,3.21,19.8,1,16.6666666666667
"Brooklyn","Manhattan",5.8,34.8,5.36,24,1,16.6666666666667
"Manhattan","Manhattan",1.6,9.6,0.84,6.5,1,16.6666666666667
"Manhattan","Queens",10.55,63.3,9.1,42.2,1,16.6666666666667
"Manhattan","Manhattan",10,34.2,2.69,17.7,1,29.2397660818713
"Manhattan","Manhattan",0,9.8,0.6,5.8,1,0
"Manhattan","Manhattan",4.2,25.2,2.13,17,1,16.6666666666667
"Manhattan","Manhattan",4.54,27.24,3.78,17.7,1,16.6666666666667
"Manhattan","Manhattan",3.22,19.32,1.36,12.1,1,16.6666666666667
"Manhattan","Manhattan",4.9,29.4,3.96,20.5,1,16.6666666666667
"Manhattan","Airport",20.91,105.81,15.28,68.1,1,19.7618372554579
"Manhattan","Manhattan",3.75,18.75,1.54,10,1,20
"Manhattan","Manhattan",8.12,48.72,7.94,36.6,1,16.6666666666667
"Manhattan","Airport",16.11,98.41,18.39,70,1,16.3702875724012
"Manhattan","Manhattan",1,14.7,1.21,7.2,1,6.80272108843537
"Manhattan","Manhattan",3.42,20.52,1.89,12.1,1,16.6666666666667
